Number,Artist,Track Name,Language
1, Kase.O, Basureta, Spanish  
2, Nach, Efectos Vocales, Spanish  
3, ToteKing, La Rima Más Completa, Spanish  
4, Natos y Waor, Cicatrices, Spanish  
5, Mala Rodríguez, La Niña de Fuego, Spanish  
6, Rapsusklei, Jugar a Ganar, Spanish  
7, C. Tangana, Mala Mujer, Spanish  
8, Dellafuente, La Llama, Spanish  
9, Nathy Peluso, Delirio Paradise, Spanish  
10, Delaossa, Manual de Supervivencia, Spanish  
11, Recycled J, Búscame, Spanish  
12, Rels B, A Solas, Spanish  
13, Duki, Goteo, Spanish  
14, Khea, Loca, Spanish  
15, Bad Bunny, Soy Peor, Spanish  
16, Yung Beef, Mucha Data, Spanish  
17, Kaydy Cain, Si Te Importa, Spanish  
18, C. Tangana, Llorando en la Limo, Spanish  
19, Los Chikos del Maíz, Los Pollos Hermanos, Spanish  
20, ToteKing, La Uña, Spanish  
21, Nach, Manifiesto, Spanish  
22, SFDK, Sobrevivir, Spanish  
23, Natos y Waor, El Infierno, Spanish  
24, Rayden, Matemáticas, Spanish  
25, Delaossa, Arte en la Calle, Spanish  
